model,prompt,Alignment,Geometry,Texture,Overall
dreamfusion,"A striped zebra",4.76470588235294,3.10526315789474,3.1875,3.31578947368421
dreamfusion,"A green pepper",8.73684210526316,8.38888888888889,7.38888888888889,8
dreamfusion,"A grey mouse",0.94444444444444,0.76190476190476,0.64705882352941,0.84210526315789
dreamfusion,"A blue vase",8,7.66666666666667,6.3,7.23809523809524
dreamfusion,"A brown bear",1.94736842105263,1.38888888888889,1.27777777777778,1.61904761904762
dreamfusion,"A red cup",5.52941176470588,4.47368421052632,4.75,4.73684210526316
dreamfusion,"A wooden boat",7.80952380952381,7.0625,7.05,7.21052631578947
dreamfusion,"A white helmet",1.78947368421053,1.88888888888889,1.55,1.57142857142857
dreamfusion,"A yellow hat",8.31578947368421,7.27777777777778,6.68421052631579,7.3
dreamfusion,"A brown horse",4,2.63157894736842,3.5,2.9
dreamfusion,"A symmetrical arch",1.05263157894737,1.54545454545455,1.28571428571429,1.04761904761905
dreamfusion,"A glass bottle",7.05263157894737,6.66666666666667,6,6.19047619047619
dreamfusion,"A white rabbit",8.66666666666667,8.09523809523809,6.82352941176471,7.78947368421053
dreamfusion,"A red bus",8.10526315789474,6.88888888888889,5.78947368421053,6.85
dreamfusion,"A blue jacket",4.85,4.11764705882353,4.76470588235294,4.31578947368421
dreamfusion,"A canned Coke",8.33333333333333,7.57894736842105,6.85,7.45
magic3d,"A striped zebra",6.5,5.66666666666667,5.29411764705882,5.63157894736842
magic3d,"A green pepper",8.89473684210526,8.72727272727273,7.66666666666667,8.42857142857143
magic3d,"A grey mouse",4.23529411764706,3.73684210526316,2.875,3.26315789473684
magic3d,"A blue vase",8,7.13636363636364,5.85714285714286,6.66666666666667
magic3d,"A brown bear",6.57894736842105,4.44444444444444,4.78947368421053,5
magic3d,"A red cup",5.94736842105263,5.21052631578947,4.83333333333333,5.28571428571429
magic3d,"A wooden boat",6.83333333333333,5.84210526315789,5.25,5.65
magic3d,"A white helmet",3.63157894736842,3.88888888888889,2.84210526315789,3.2
magic3d,"A yellow hat",7.73684210526316,6.5,5.78947368421053,6.8
magic3d,"A brown horse",5,3.14285714285714,4.35294117647059,3.63157894736842
magic3d,"A symmetrical arch",0.35294117647059,0.73684210526316,0.875,0.57894736842105
magic3d,"A glass bottle",7.80952380952381,7.5625,6.65,7.42105263157895
magic3d,"A white rabbit",7.63157894736842,6.16666666666667,6,6.61904761904762
magic3d,"A red bus",4.14285714285714,3.125,3.05,3.15789473684211
magic3d,"A blue jacket",4.94444444444444,4.23809523809524,4.23529411764706,4.26315789473684
magic3d,"A canned Coke",7.5,6.47058823529412,6.35294117647059,6.63157894736842
sjc,"A striped zebra",4.15789473684211,3.5,2.47368421052632,3.1
sjc,"A green pepper",5,3.27777777777778,2.8,3.71428571428571
sjc,"A grey mouse",3.85714285714286,2.3125,1.9,2.26315789473684
sjc,"A blue vase",6.34210526315789,4.08333333333333,4.19444444444444,4.66666666666667
sjc,"A brown bear",3.41176470588235,2.15789473684211,1.875,2.31578947368421
sjc,"A red cup",6.1,5.05882352941176,4.47058823529412,5
sjc,"A wooden boat",5.10526315789474,3.45454545454545,2.76190476190476,3.19047619047619
sjc,"A white helmet",5.55,4.82352941176471,3.82352941176471,4.63157894736842
sjc,"A yellow hat",4,2.16666666666667,2.61111111111111,2.66666666666667
sjc,"A brown horse",5.90476190476191,4.5,3.05,4.05263157894737
sjc,"A symmetrical arch",1.36842105263158,1.54545454545455,1.38095238095238,1.23809523809524
sjc,"A glass bottle",6.26315789473684,3.77272727272727,3.61904761904762,4.28571428571429
sjc,"A white rabbit",7.22222222222222,5.26315789473684,3.85,4.95
sjc,"A red bus",1.78947368421053,1.15789473684211,1.22222222222222,1.28571428571429
sjc,"A blue jacket",0.36842105263158,0.22222222222222,0.38888888888889,0.33333333333333
sjc,"A canned Coke",2.10526315789474,1.21052631578947,0.83333333333333,1.52380952380952
textmesh,"A striped zebra",3.66666666666667,2.75,2.7,2.68421052631579
textmesh,"A green pepper",9.5263157894737,8.94736842105263,8.44444444444444,8.90476190476191
textmesh,"A grey mouse",8.2,7.29411764705882,7.23529411764706,7.68421052631579
textmesh,"A blue vase",7.38888888888889,6.71428571428571,6.17647058823529,6.73684210526316
textmesh,"A brown bear",1,1,1.22222222222222,1
textmesh,"A red cup",1.76190476190476,1.9375,2.25,1.36842105263158
textmesh,"A wooden boat",5.36842105263158,4.16666666666667,3.66666666666667,4.47619047619048
textmesh,"A white helmet",1.05263157894737,1.22222222222222,0.95,0.95238095238095
textmesh,"A yellow hat",5.78947368421053,4.66666666666667,4.05555555555556,4.66666666666667
textmesh,"A brown horse",3.21052631578947,2.33333333333333,2.94736842105263,2.5
textmesh,"A symmetrical arch",1.10526315789474,1,1.16666666666667,1
textmesh,"A glass bottle",1.1,1.35294117647059,1.41176470588235,1.15789473684211
textmesh,"A white rabbit",8.5,7.05263157894737,7.2,7
textmesh,"A red bus",0.76470588235294,0.84210526315789,1.3125,0.78947368421053
textmesh,"A blue jacket",6.73684210526316,5.11111111111111,5.44444444444444,5.71428571428571
textmesh,"A canned Coke",8.38888888888889,7.73684210526316,6.85,7.55
3dtopia,"A striped zebra",4.5,3.76190476190476,4.94117647058824,3.94736842105263
3dtopia,"A green pepper",6.41176470588235,5.42105263157895,5.8125,5.73684210526316
3dtopia,"A grey mouse",2.63157894736842,1.94444444444444,2.6,2.04761904761905
3dtopia,"A blue vase",6.8,5.82352941176471,5.52941176470588,5.94736842105263
3dtopia,"A brown bear",6.15789473684211,3.54545454545455,4.33333333333333,4.47619047619048
3dtopia,"A red cup",5.80952380952381,4.4375,4.75,5.10526315789474
3dtopia,"A wooden boat",6.42105263157895,4.38888888888889,5.10526315789474,5.15
3dtopia,"A white helmet",4.29411764705882,4.05263157894737,3.9375,4.10526315789474
3dtopia,"A yellow hat",2.55555555555556,2.14285714285714,3.17647058823529,2.31578947368421
3dtopia,"A brown horse",6.84210526315789,4.78947368421053,5.77777777777778,5.47619047619048
3dtopia,"A symmetrical arch",7.9,7.41176470588235,7.58823529411765,7.57894736842105
3dtopia,"A glass bottle",5.5,3.58823529411765,4.35294117647059,4.47368421052632
3dtopia,"A white rabbit",5.21428571428571,4.65625,4.5,4.68421052631579
3dtopia,"A red bus",6.21052631578947,4.84210526315789,4.05555555555556,4.95238095238095
3dtopia,"A blue jacket",8.72222222222222,8.05263157894737,7.5,7.95
3dtopia,"A canned Coke",3,4.33333333333333,2.11764705882353,3
consistent3d,"A striped zebra",4.76190476190476,3.125,3.8,3.63157894736842
consistent3d,"A green pepper",5.73684210526316,5,4.72222222222222,4.90476190476191
consistent3d,"A grey mouse",6,5.14285714285714,4.94117647058824,4.42105263157895
consistent3d,"A blue vase",4.52631578947368,3,3.21052631578947,3.25
consistent3d,"A brown bear",6.42105263157895,4.10526315789474,4.44444444444444,4.23809523809524
consistent3d,"A red cup",5.33333333333333,4.57142857142857,4.82352941176471,4.84210526315789
consistent3d,"A wooden boat",6.19047619047619,5,4.1,5.10526315789474
consistent3d,"A white helmet",6,4.75,4.45,5.10526315789474
consistent3d,"A yellow hat",6.52631578947368,5.40909090909091,5.61904761904762,5.42857142857143
consistent3d,"A brown horse",5.47619047619048,3.9375,4.35,4.21052631578947
consistent3d,"A symmetrical arch",0.88888888888889,1,1.55,1
consistent3d,"A glass bottle",5,3.10526315789474,3.55555555555556,3.61904761904762
consistent3d,"A white rabbit",7.78947368421053,5.15789473684211,5.61111111111111,5.66666666666667
consistent3d,"A red bus",2.73684210526316,1.73684210526316,2.33333333333333,2.04761904761905
consistent3d,"A blue jacket",5.68421052631579,4.45454545454545,4.23809523809524,4.47619047619048
consistent3d,"A canned Coke",5.78947368421053,3.26315789473684,3.72222222222222,4
latentnerf,"A striped zebra",3.16666666666667,2.66666666666667,3.17647058823529,2.78947368421053
latentnerf,"A green pepper",3.55555555555556,2.0952380952381,2.82352941176471,2.57894736842105
latentnerf,"A grey mouse",6.42105263157895,4.66666666666667,4.21052631578947,4.95
latentnerf,"A blue vase",4.80952380952381,3.25,3.85,3.47368421052632
latentnerf,"A brown bear",1.36842105263158,1,1.2,1.23809523809524
latentnerf,"A red cup",3.05263157894737,1.84210526315789,2.44444444444444,2.23809523809524
latentnerf,"A wooden boat",1.23529411764706,1.10526315789474,1.1875,1.05263157894737
latentnerf,"A white helmet",2.42105263157895,1.38888888888889,1.77777777777778,1.76190476190476
latentnerf,"A yellow hat",6.45,4.88235294117647,5.23529411764706,5.15789473684211
latentnerf,"A brown horse",3.35294117647059,2,2.25,2.15789473684211
latentnerf,"A symmetrical arch",3.52631578947368,2.44444444444444,2.66666666666667,2.76190476190476
latentnerf,"A glass bottle",4.38888888888889,2.89473684210526,2.7,3.05
latentnerf,"A white rabbit",7.75,5.23529411764706,5.29411764705882,6
latentnerf,"A red bus",2.71428571428571,1.625,1.9,1.78947368421053
latentnerf,"A blue jacket",1.57894736842105,0.88888888888889,1.3,1.14285714285714
latentnerf,"A canned Coke",6.42105263157895,2.73684210526316,3.38888888888889,3.85714285714286
one2345++,"A striped zebra",7.76470588235294,6.57894736842105,6.4375,6.84210526315789
one2345++,"A green pepper",8.85,8.76470588235294,7.88235294117647,8.47368421052632
one2345++,"A grey mouse",9,8.42857142857143,8.82352941176471,8.73684210526316
