model,prompt,Alignment,Geometry,Texture,Overall
dreamfusion,A striped zebra,4.764705882,3.105263158,3.1875,3.315789474
dreamfusion,A green pepper,8.736842105,8.388888889,7.388888889,8
dreamfusion,A grey mouse,0.944444444,0.761904762,0.647058824,0.842105263
dreamfusion,A blue vase,8,7.666666667,6.3,7.238095238
dreamfusion,A brown bear,1.947368421,1.388888889,1.277777778,1.619047619
dreamfusion,A red cup,5.529411765,4.473684211,4.75,4.736842105
dreamfusion,A round stool,8.578947368,7.888888889,7.166666667,8
dreamfusion,A wooden boat,7.80952381,7.0625,7.05,7.210526316
dreamfusion,A white helmet,1.789473684,1.888888889,1.55,1.571428571
dreamfusion,A green umbrella,1.157894737,0.666666667,1.1,0.952380952
dreamfusion,A yellow hat,8.315789474,7.277777778,6.684210526,7.3
dreamfusion,A wooden bench,8.1,6.941176471,6.588235294,7.105263158
dreamfusion,A brown horse,4,2.631578947,3.5,2.9
dreamfusion,A symmetrical arch,1.052631579,1.545454545,1.285714286,1.047619048
dreamfusion,A glass bottle,7.052631579,6.666666667,6,6.19047619
dreamfusion,A white rabbit,8.666666667,8.095238095,6.823529412,7.789473684
dreamfusion,A red bus,8.105263158,6.888888889,5.789473684,6.85
dreamfusion,A blue jacket,4.85,4.117647059,4.764705882,4.315789474
dreamfusion,A delicious hamburger,6.631578947,5.388888889,4.684210526,5.45
dreamfusion,A canned Coke,8.333333333,7.578947368,6.85,7.45
dreamfusion,A badge shaped like a shield,2.5,2.210526316,1.85,2.15
dreamfusion,A black umbrella with a curved handle,1.277777778,0.952380952,0.882352941,1.157894737
dreamfusion,A bookmark with a tassel,2.833333333,2.142857143,2.176470588,2.736842105
dreamfusion,A cactus with a blooming flower,6.578947368,5.454545455,5.571428571,5.761904762
dreamfusion,A candleholder made of wrought iron,6.263157895,4.210526316,4.166666667,4.761904762
dreamfusion,A chess piece carved from ivory,7.947368421,7,6.666666667,7.095238095
dreamfusion,A coffee mug with a chipped rim,4.222222222,4.315789474,3.75,3.95
dreamfusion,A red rose with a thorny stem,2.666666667,1.684210526,1.85,1.7
dreamfusion,A lamp with a fabric shade,7.368421053,5.736842105,5.833333333,6.476190476
dreamfusion,A lipstick in a golden case,6.833333333,6.526315789,6,6.25
